Campaign ID,Influencer Name,Handle,Platform,Follower Count,Contract Date,Post Date,Content Type,Campaign Name,Content URL,Impressions,Reach,Engagement (Likes+Comments+Saves),Engagement Rate,Clicks,CTR,Conversions,Conversion Rate,Revenue,ROAS,Commission Paid,Flat Fee Paid,Total Cost,Profit/Loss,Status,Notes
CMP-001,Jane Smith,@janesmith,Instagram,45000,2026-01-15,2026-01-25,Feed Post,Product Launch,https://instagram.com/p/abc123,52000,38000,2850,7.5%,312,0.82%,28,7.4%,$1680,$840,$150,$500,$650,$1030,Completed,Great performance
CMP-001,Jane Smith,@janesmith,Instagram,45000,2026-01-15,2026-01-27,Story,Product Launch,https://instagram.com/stories/xyz789,28000,22000,1650,7.5%,189,0.86%,15,7.9%,$900,$450,$75,$250,$325,$575,Completed,Story performed well
CMP-002,Mike Johnson,@mikejfit,TikTok,125000,2026-01-20,2026-02-01,Video,Fitness Challenge,https://tiktok.com/@mikejfit/video/456,485000,312000,28500,9.1%,1250,0.40%,95,7.6%,$5700,$2850,$0,$1200,$1200,$4500,Completed,Viral performance
CMP-003,Sarah Lee,@sarahleebeauty,Instagram,78000,2026-02-01,2026-02-10,Reel,Skincare Launch,https://instagram.com/reel/def456,156000,98000,8200,8.4%,892,0.91%,67,7.5%,$4020,$2010,$0,$800,$800,$3220,Completed,High engagement
CMP-003,Sarah Lee,@sarahleebeauty,Instagram,78000,2026-02-01,2026-02-12,Feed Post,Skincare Launch,https://instagram.com/p/ghi789,89000,62000,4100,6.6%,425,0.69%,32,7.5%,$1920,$960,$100,$400,$500,$1420,Completed,Solid performance
CMP-004,Tech Reviews Pro,@techreviewspro,YouTube,245000,2026-02-05,2026-02-20,Integration,Tech Review,https://youtube.com/watch?v=jkl012,185000,165000,12400,7.5%,2100,1.27%,145,6.9%,$8700,$4350,$0,$2500,$2500,$6200,Completed,Long-tail value
CMP-005,Emma Wellness,@emmawellness,Instagram,32000,2026-02-10,2026-02-22,Carousel,Wellness Week,https://instagram.com/p/mno345,41000,28000,2380,8.5%,245,0.88%,22,9.0%,$1320,$660,$50,$350,$400,$920,Completed,High conversion rate
CMP-006,David Chen,@davidchen,Instagram,156000,2026-02-15,2026-02-28,Feed Post,Spring Collection,https://instagram.com/p/pqr678,198000,142000,8900,6.3%,1120,0.79%,78,7.0%,$4680,$2340,$200,$1500,$1700,$2980,Completed,Good reach
CMP-006,David Chen,@davidchen,Instagram,156000,2026-02-15,2026-03-01,Story,Spring Collection,https://instagram.com/stories/stu901,85000,68000,4250,6.3%,520,0.76%,35,6.7%,$2100,$1050,$75,$600,$675,$1425,Completed,Story swipe-ups strong
CMP-007,Lisa Martinez,@lisamartinez,TikTok,89000,2026-02-20,2026-03-05,Video,Dance Challenge,https://tiktok.com/@lisamartinez/video/234,675000,520000,48500,9.3%,2850,0.55%,195,6.8%,$11700,$5850,$0,$900,$900,$10800,Completed,Went viral
CMP-008,Fitness Fam,@fitnessfam,Instagram,210000,2026-02-25,2026-03-10,Reel,Transformation Challenge,https://instagram.com/reel/vwx567,520000,385000,24500,6.4%,3200,0.83%,210,6.6%,$12600,$6300,$0,$2000,$2000,$10600,Completed,Strong engagement
CMP-009,Alex Rivera,@alexrivera,YouTube,67000,2026-03-01,2026-03-15,Integration,Product Review,https://youtube.com/watch?v=yza890,95000,82000,6800,8.3%,1450,1.77%,125,8.6%,$7500,$3750,$0,$1200,$1200,$6300,Completed,High CTR
CMP-010,Beauty by Nicole,@beautybynicole,Instagram,42000,2026-03-05,2026-03-18,Feed Post,Makeup Launch,https://instagram.com/p/bcd123,58000,41000,3200,7.8%,385,0.94%,35,9.1%,$2100,$1050,$75,$450,$525,$1575,Completed,Exceeded expectations
CMP-011,Travel with Tom,@travelwithtom,Instagram,185000,2026-03-08,2026-03-22,Carousel,Travel Gear,https://instagram.com/p/efg456,245000,178000,11200,6.3%,1680,0.94%,125,7.4%,$7500,$3750,$150,$1800,$1950,$5550,In Progress,Posting soon
CMP-012,Mom Life Daily,@momlifedaily,Instagram,95000,2026-03-10,2026-03-25,Reel,Family Products,https://instagram.com/reel/hij789,,,,,,,0,0%,0,0.0%,$0,$0,$0,$850,$850,-$850,Scheduled,Awaiting post
CMP-013,Gaming Guru,@gamingguru,TikTok,320000,2026-03-12,2026-03-28,Video,Gaming Setup,https://tiktok.com/@gamingguru/video/567,,,,,,,0,0%,0,0.0%,$0,$0,$0,$2500,$2500,-$2500,Contract Signed,Production phase
CMP-014,Healthy Eats,@healthyeats,Instagram,58000,2026-03-15,,Food Series,https://instagram.com/p/klm012,,,,,,,0,0%,0,0.0%,$0,$0,$0,$600,$600,-$600,Negotiating,Finalizing terms
CMP-015,Style Studio,@stylestudio,Instagram,125000,2026-03-18,,Fashion Week,https://instagram.com/p/nop345,,,,,,,0,0%,0,0.0%,$0,$0,$0,$1400,$1400,-$1400,Prospect,Initial contact made
