Directory Name,URL,Category,Domain Authority,Listing Status,NAP Consistent,Claimed?,Profile URL,Username/Email,Date Created,Last Verified,Notes,Priority
Google Business Profile,https://www.google.com/business,Core,100,,,,,,,Critical
Apple Business Connect,https://businessconnect.apple.com,Core,100,,,,,,,Critical
Bing Places,https://www.bingplaces.com,Core,95,,,,,,,Critical
Facebook,https://www.facebook.com/business,Core,96,,,,,,,Critical
Yelp,https://www.yelp.com/business,Core,94,,,,,,,Critical
YellowPages,https://www.yellowpages.com,Core,85,,,,,,,High
Manta,https://www.manta.com,Core,80,,,,,,,High
Foursquare,https://foursquare.com,Core,82,,,,,,,High
Better Business Bureau,https://www.bbb.org,Core,90,,,,,,,High
MapQuest,https://www.mapquest.com,Core,88,,,,,,,Medium
HotFrog,https://www.hotfrog.com,Core,75,,,,,,,Medium
CitySearch,https://www.citysearch.com,Core,78,,,,,,,Medium
Superpages,https://www.superpages.com,Core,76,,,,,,,Medium
Whitepages,https://www.whitepages.com,Core,84,,,,,,,Medium
Thumbtack,https://www.thumbtack.com,Service,82,,,,,,,High
Angi (Angie's List),https://www.angi.com,Service,85,,,,,,,High
HomeAdvisor,https://www.homeadvisor.com,Service,84,,,,,,,High
Porch,https://porch.com,Service,75,,,,,,,Medium
Houzz,https://www.houzz.com,Service,86,,,,,,,High
BuildZoom,https://www.buildzoom.com,Service,70,,,,,,,Medium
GuildQuality,https://www.guildquality.com,Service,65,,,,,,,Medium
ServiceTitan,https://www.servicetitan.com,Service,72,,,,,,,Medium
Healthgrades,https://www.healthgrades.com,Medical,88,,,,,,,Critical
Vitals,https://www.vitals.com,Medical,80,,,,,,,High
Zocdoc,https://www.zocdoc.com,Medical,85,,,,,,,High
RateMDs,https://www.ratemds.com,Medical,78,,,,,,,High
WebMD,https://www.webmd.com,Medical,92,,,,,,,High
Avvo,https://www.avvo.com,Legal,88,,,,,,,Critical
FindLaw,https://www.findlaw.com,Legal,90,,,,,,,Critical
Justia,https://www.justia.com,Legal,87,,,,,,,High
Martindale-Hubbell,https://www.martindale.com,Legal,85,,,,,,,High
Lawyers.com,https://www.lawyers.com,Legal,82,,,,,,,High
Nolo,https://www.nolo.com,Legal,84,,,,,,,Medium
TripAdvisor,https://www.tripadvisor.com,Hospitality,92,,,,,,,Critical
Booking.com,https://www.booking.com,Hospitality,95,,,,,,,Critical
Expedia,https://www.expedia.com,Hospitality,94,,,,,,,High
Hotels.com,https://www.hotels.com,Hospitality,90,,,,,,,High
OpenTable,https://www.opentable.com,Restaurant,88,,,,,,,Critical
Zomato,https://www.zomato.com,Restaurant,85,,,,,,,High
TheFork,https://www.thefork.com,Restaurant,80,,,,,,,Medium
MenuPages,https://menupages.com,Restaurant,75,,,,,,,Medium
AllMenus,https://www.allmenus.com,Restaurant,72,,,,,,,Medium
SinglePlatform,https://singleplatform.com,Restaurant,78,,,,,,,High
Chamber of Commerce,https://www.chamberofcommerce.com,Local,70,,,,,,,High
Local.com,https://www.local.com,Local,75,,,,,,,Medium
MerchantCircle,https://www.merchantcircle.com,Local,74,,,,,,,Medium
BrownBook,https://www.brownbook.net,Local,65,,,,,,,Medium
Cylex,https://www.cylex-usa.com,Local,68,,,,,,,Medium
Tupalo,https://tupalo.com,Local,60,,,,,,,Low
eLocal,https://www.elocal.com,Local,72,,,,,,,Medium
Kudzu,https://www.kudzu.com,Local,70,,,,,,,Medium
InsiderPages,https://www.insiderpages.com,Local,68,,,,,,,Low
Judy's Book,https://www.judysbook.com,Local,62,,,,,,,Low
YellowBot,https://www.yellowbot.com,Local,65,,,,,,,Low
GoLocal247,https://www.golocal247.com,Local,58,,,,,,,Low
USA City,https://www.usacity.net,Local,55,,,,,,,Low
EZLocal,https://ezlocal.com,Local,60,,,,,,,Low
MyHuckleberry,https://www.myhuckleberry.com,Local,52,,,,,,,Low
Bing Local,https://www.bing.com/local,Core,90,,,,,,,High
Yahoo Local,https://local.yahoo.com,Core,88,,,,,,,Medium
Nextdoor,https://nextdoor.com,Local,85,,,,,,,High
Patch,https://patch.com,Local,82,,,,,,,Medium
Craigslist,https://www.craigslist.org,Local,90,,,,,,,Medium
OfferUp,https://offerup.com,Local,78,,,,,,,Medium
Letgo,https://www.letgo.com,Local,72,,,,,,,Low
LinkedIn Company,https://www.linkedin.com/company,Professional,98,,,,,,,High
Glassdoor,https://www.glassdoor.com,Professional,92,,,,,,,Medium
Indeed Company,https://www.indeed.com,Professional,94,,,,,,,Medium
CareerBuilder,https://www.careerbuilder.com,Professional,88,,,,,,,Low
Crunchbase,https://www.crunchbase.com,Professional,90,,,,,,,Medium
AngelList,https://angel.co,Professional,88,,,,,,,Low
ProductHunt,https://www.producthunt.com,Professional,85,,,,,,,Low
Trustpilot,https://www.trustpilot.com,Reviews,90,,,,,,,High
SiteJabber,https://www.sitejabber.com,Reviews,75,,,,,,,Medium
ResellerRatings,https://www.resellerratings.com,Reviews,72,,,,,,,Low
ConsumerAffairs,https://www.consumeraffairs.com,Reviews,82,,,,,,,Medium
PissedConsumer,https://pissedconsumer.com,Reviews,70,,,,,,,Low
ComplaintsBoard,https://www.complaintsboard.com,Reviews,68,,,,,,,Low
