Date,Client Name,AI Visibility Score,Technical Score,Content Score,Structured Data Score,Citations Score,Competitive Score,GEO Score,AI Visibility %,Total Citations,AI Leads,Notes
2026-03-01,[Client Name],45,60,55,40,50,35,48,43%,15,2,Baseline audit
2026-03-08,[Client Name],,,,,,,,Week 1 check
2026-03-15,[Client Name],,,,,,,,Week 2 check
2026-03-22,[Client Name],,,,,,,,Week 3 check
2026-03-29,[Client Name],,,,,,,,Month 1 complete
2026-04-05,[Client Name],,,,,,,,Week 5 check
2026-04-12,[Client Name],,,,,,,,Week 6 check
2026-04-19,[Client Name],,,,,,,,Week 7 check
2026-04-26,[Client Name],,,,,,,,Month 2 complete
2026-05-03,[Client Name],,,,,,,,Week 9 check
2026-05-10,[Client Name],,,,,,,,Week 10 check
2026-05-17,[Client Name],,,,,,,,Week 11 check
2026-05-24,[Client Name],,,,,,,,Month 3 complete
